pub_id,a_lead_id,a_contributing_id,a_year,a_date,a_publisher,a_pub_name,a_doi,a_isxn,a_scopus
87,97,,,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 3478-3485",,,
88,146,,2015,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 340-345.",,,
88,153,,,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 340-345.",,,
88,75,,,,,"Procedia Manufacturing, Vol. 3 (2015), pp. 340-345.",,,
89,145,,2016,,,"Advances in Safety Management and Human Factors, Vol. 491 (2016), pp. 495-501",,,
89,152,,,,,"Advances in Safety Management and Human Factors, Vol. 491 (2016), pp. 495-501",,,
89,153,,,,,"Advances in Safety Management and Human Factors, Vol. 491 (2016), pp. 495-501",,,
90,153,,2016,"May 13, 2016","IAIA 2016 International Conference, Nagoya Congress Center, Japan",,,,
90,59,,,"May 13, 2016","IAIA 2016 International Conference, Nagoya Congress Center, Japan",,,,
91,153,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 82-89",,,
91,86,,,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 82-89",,,
92,153,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 90-100",,,
92,127,,,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 90-100",,,
93,153,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 193-202",,,
93,75,,,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 193-202",,,
94,153,,2017,,,"Advances in the Human Side of Service Engineering,Springer International Publishing, Vol. 601 (2017), pp. 203-214",,,
